podcast_name,writer,link,language,country,category,episodes,publish_date,ListenScore,top_rank
Love and Luck,Passer Vulpes Productions,https://www.listennotes.com/podcasts/love-and-luck-passer-vulpes-productions-Isbh4ndL8VF/,English,Australia,"['Drama', 'Fiction', 'Audio Drama']",115,2017,45,1
Buchingers Tagebuch,Michael Buchinger,https://www.listennotes.com/podcasts/buchingers-tagebuch-michael-buchinger-96tFA1ymUfT/,German,Austria,"['Comedy', 'Society & Culture', 'TV & Film']",173,2018,55,0.5
BE NY podcast,Patrick  van Rosendaal,https://www.listennotes.com/podcasts/be-ny-podcast-patrick-van-rosendaal-XZkpru7WEQK/,Dutch,Belgium,"['Leisure', 'New York']",11,2020,26,10
Mundo Raiam Podcast,Raiam Santos,https://www.listennotes.com/podcasts/mundo-raiam-podcast-raiam-santos-W-g8Xcpbiaf/,Portuguese,Brazil,['Business'],112,2017,47,1
pantynova.com,pantynova,https://www.listennotes.com/podcasts/pantynovacom-pantynova-9HerXY28qOj/,Portuguese,Brazil,['Society & Culture'],88,2021,34,5
G1 ouviu - seu guia de novidades musicais,G1,https://www.listennotes.com/podcasts/g1-ouviu-seu-guia-de-novidades-musicais-Dxjy2XYq3bV/,Portuguese,Brazil,['Music'],175,2018,39,2
FUSO,Bumba na Fofinha,https://www.listennotes.com/podcasts/fuso-bumba-na-fofinha-0WiMG6BfU5b/,Portuguese,Brazil,['Comedy'],82,2019,64,0.1
Respondendo em Voz Alta,Laurinha Lero,https://www.listennotes.com/podcasts/respondendo-em-voz-alta-laurinha-lero-uGxfvQTsD58/,Portuguese,Brazil,['Comedy'],47,2019,56,0.5
CARROSSEL,OS PRIMOS,https://www.listennotes.com/podcasts/carrossel-os-primos-ACI4GTFXHE7/,Portuguese,Brazil,"['Improv', 'Comedy']",114,2019,51,0.5
CNN Nosso Mundo,CNN Brasil,https://www.listennotes.com/podcasts/cnn-nosso-mundo-cnn-brasil-WDrCQb6ydkM/,Portuguese,Brazil,['News'],30,2020,41,2
Ao Ponto (podcast do jornal O Globo),O Globo,https://www.listennotes.com/podcasts/ao-ponto-podcast-do-jornal-o-globo-o-globo-3_e468KUPFi/,Portuguese,Brazil,['News'],255,2021,47,1
The WAN Show,Linus Tech Tips,https://www.listennotes.com/podcasts/the-wan-show-linus-tech-tips-f7H8kwE0Qge/,English,Canada,"['Technology', 'Gadgets', 'Tech News']",160,2018,59,0.5
TransForming Rounds,TransForming Rounds,https://www.listennotes.com/podcasts/transforming-rounds-transforming-rounds-I8mKCrfeS_w/,English,Canada,['Health & Fitness'],5,2019,30,10
For Screen and Country,For Screen And Country | Age of Radio,https://www.listennotes.com/podcasts/for-screen-and-country-for-screen-and-XBLWGS-ReIr/,English,Canada,"['Comedy', 'Film Reviews', 'TV & Film']",165,2018,26,10
I SHAKE MY HEAD,I SHAKE MY HEAD,https://www.listennotes.com/podcasts/i-shake-my-head-i-shake-my-head-svAZp9biL3o/,English,Canada,['Comedy'],268,2017,36,3
Canadian True Crime,Kristi Lee,https://www.listennotes.com/podcasts/canadian-true-crime-kristi-lee-4ltYzFMjv9Z/,English,Canada,"['True Crime', 'Society & Culture', 'Places & Travel', 'History']",119,2017,77,0.01
Uncover,CBC Podcasts,https://www.listennotes.com/podcasts/uncover-cbc-podcasts-V7sdC4jZSbX/,English,Canada,"['True Crime', 'News']",116,2018,78,0.01
Songbirding,Rob Porter,https://www.listennotes.com/podcasts/songbirding-rob-porter-ZY03tgWef7V/,English,Canada,"['Wilderness', 'Science', 'Hobbies', 'Leisure', 'Nature', 'Sports', 'Pets & Animals', 'Kids & Family']",115,2019,44,1.5
The Gravy Train,Frequency Podcast Network,https://www.listennotes.com/podcasts/the-gravy-train-frequency-podcast-network-ldptr3nLSP0/,English,Canada,"['True Crime', 'History', 'Government']",10,2019,55,0.5
Born And Raised,HuffPost Canada,https://www.listennotes.com/podcasts/born-and-raised-huffpost-canada-dOyV43nIJTc/,English,Canada,['Society & Culture'],18,2018,40,2
Shift (NB),CBC Radio,https://www.listennotes.com/podcasts/shift-nb-cbc-radio-q_Ho8r9shMa/,English,Canada,['News'],1325,2020,28,10
Undercurrent: Bear 148,The Narwhal,https://www.listennotes.com/podcasts/undercurrent-bear-148-the-narwhal-f83uw2Mnx15/,English,Canada,['News'],7,2019,48,1
Ideas,CBC Radio,https://www.listennotes.com/podcasts/ideas-cbc-radio-8m7B2eYoJni/,English,Canada,['Society & Culture'],359,2019,63,0.1
Tai Asks Why,CBC Podcasts,https://www.listennotes.com/podcasts/tai-asks-why-cbc-podcasts-aFzQqw08phy/,English,Canada,"['Kids & Family', 'Society & Culture']",35,2018,60,0.5
Against Japanism,Against Japanism,https://www.listennotes.com/podcasts/against-japanism-against-japanism-qXT8wB4tykZ/,English,Canada,"['History', 'Science', 'Society & Culture', 'Social Sciences']",10,2021,32,5
Spark from CBC Radio,CBC Radio,https://www.listennotes.com/podcasts/spark-from-cbc-radio-cbc-radio-FsgfWHiLzkS/,English,Canada,['Technology'],26,2021,55,0.5
One Minute Governance,Fullbrook Board Effectiveness,https://www.listennotes.com/podcasts/one-minute-governance-fullbrook-board-7_gIAh14Eyx/,English,Canada,"['Management', 'Business']",99,2020,41,1.5
明镜火拍（音频版）,MingjingRadio 明镜火拍（音频版）,https://www.listennotes.com/podcasts/明镜火拍音频版-mingjingradio-明镜火拍音频版-8YlC0ifS5by/,Chinese,China,['News'],208,2020,45,1
时差 in-betweenness,时差小伙伴,https://www.listennotes.com/podcasts/时差-in-betweenness-时差小伙伴-wd3nYsr402f/,Chinese,China,['Society & Culture'],13,2020,44,1.5
随机波动StochasticVolatility,随机波动,https://www.listennotes.com/podcasts/随机波动stochasticvolatility-随机波动-xHX2_zetPmE/,Chinese,China,['Society & Culture'],117,2020,58,0.5
东亚观察局,东亚观察局,https://www.listennotes.com/podcasts/东亚观察局-东亚观察局--qmh8HGK2YL/,Chinese,China,"['Society & Culture', 'Personal Journals']",85,2020,44,1
反派影评,波米和他的朋友们,https://www.listennotes.com/podcasts/反派影评-波米和他的朋友们-KPnX85SNFtO/,Chinese,China,"['TV & Film', 'Arts', 'Visual Arts']",243,2016,43,1.5
端開麥,端傳媒,https://www.listennotes.com/podcasts/端開麥-端傳媒-HJfX6ATGSNq/,Chinese,China,"['Science', 'News', 'Society & Culture', 'Social Sciences']",14,2021,38,2.5
维生素E|经济学与哲学知识分享,维生素E知识分享,https://www.listennotes.com/podcasts/维生素e经济学与哲学知识分享-维生素e知识分享-6I2Wf05LTr4/,Chinese,China,"['Philosophy', 'Society & Culture', 'Social Sciences', 'Science', 'Spirituality', 'Religion & Spirituality']",105,2018,40,2
剩余价值SurplusValue,剩余价值SurplusValue,https://www.listennotes.com/podcasts/剩余价值surplusvalue-剩余价值surplusvalue-IJaT85CjLu2/,Chinese,China,"['Personal Journals', 'Society & Culture', 'Books', 'Arts', 'TV & Film']",73,2019,55,0.5
Finanzas y Algo Más | Educación Financiera |Finanzas Personales | Inversión,Finanzas y algo más | Mónica Higuera |Educación Financiera-Inversión-humanidad,https://www.listennotes.com/podcasts/finanzas-y-algo-más-educación-financiera-NdqZHiGaeWl/,Spanish,Colombia,"['Education', 'Investing', 'Business', 'Business News', 'Personal Finance']",60,2020,41,1.5
Arcanos y Reyes,David Marin,https://www.listennotes.com/podcasts/arcanos-y-reyes-david-marin-_sRqvy4hKw1/,Spanish,Colombia,"['History', 'Society & Culture']",14,2020,37,2.5
Čas kávičky,Čas kávičky,https://www.listennotes.com/podcasts/čas-kávičky-čas-kávičky-GVEp7a5nJTc/,Czech,Czech Republic,"['Comedy', 'Society & Culture', 'Health & Fitness']",90,2019,29,10
The Healthy Tapes,@jedunavykon,https://www.listennotes.com/podcasts/the-healthy-tapes-jedunavykon-LE5SUNlCv4-/,Czech,Czech Republic,"['Self-Help', 'Fitness', 'Health & Fitness']",75,2019,26,10
The Coffee-chic podcast,Elite Bloggers Podcasts,https://www.listennotes.com/podcasts/the-coffee-chic-podcast-elite-bloggers-a34gyN5r0hl/,Czech,Czech Republic,['Health & Fitness'],118,2019,28,10
The Europeans,The Europeans,https://www.listennotes.com/podcasts/the-europeans-the-europeans-env3KI7SZu4/,English,Europe,['News'],182,2017,48,1
The Fire These Times,Joey Ayoub,https://www.listennotes.com/podcasts/the-fire-these-times-joey-ayoub-ofITDBiQ29U/,English,Europe,"['Philosophy', 'History', 'Society & Culture', 'Politics', 'Social Sciences', 'Amateur']",110,2020,37,2.5
True Crime Finland,Minna,https://www.listennotes.com/podcasts/true-crime-finland-minna-pCmPS27wazN/,English,Finland,"['Government', 'Society & Culture']",86,2017,47,1
Auta Antti!,Podplay,https://www.listennotes.com/podcasts/auta-antti-podplay-ByGOJ7wRvN9/,Finnish,Finland,['Comedy'],18,2018,25,10
Atelier des médias,RFI,https://www.listennotes.com/podcasts/atelier-des-médias-rfi-1Zmy73wokJS/,French,France,['News'],360,2016,34,5
The Inner Life,Safia Ayad,https://www.listennotes.com/podcasts/the-inner-life-safia-ayad-Y2mRI1AGLXa/,French,France,['Health & Fitness'],29,2018,55,0.5
Combattant(e)s,Charlotte VALLET,https://www.listennotes.com/podcasts/combattantes-charlotte-vallet-xYsTwyrJ8M3/,French,France,['Society & Culture'],52,2019,45,1
Sonar,Maxime Fonsale,https://www.listennotes.com/podcasts/sonar-maxime-fonsale-nKpz8RwraNU/,French,France,"['Careers', 'Business']",29,2019,33,5
WIKY RADIO,Wiky,https://www.listennotes.com/podcasts/wiky-radio-wiky-qvn0-spkFZa/,French,France,['Music'],179,2010,41,1.5
Les Aventures de Tintin,France Culture,https://www.listennotes.com/podcasts/les-aventures-de-tintin-france-culture-DtAHU0JP_lC/,French,France,"['Books', 'Arts']",7,2018,61,0.5
Oli,France Inter,https://www.listennotes.com/podcasts/oli-france-inter-zUVfHyB0dRl/,French,France,['Kids & Family'],103,2018,61,0.1
Podcasts pour enfants - La puce à l'oreille,La puce à l'oreille,https://www.listennotes.com/podcasts/podcasts-pour-enfants-la-puce-à-loreille-la-OKBD40nY3yg/,French,France,['Education'],91,2017,41,1.5
La grande histoire de Pomme d'Api,La grande histoire de Pomme d'Api,https://www.listennotes.com/podcasts/la-grande-histoire-de-pomme-dapi-la-grande-_jHNy0WzRQZ/,French,France,['Kids & Family'],44,2019,52,0.5
INTENTIONS,Isadora et Marisa,https://www.listennotes.com/podcasts/intentions-isadora-et-marisa--eRz9ZraVA5/,French,France,['Health & Fitness'],43,2020,56,0.5
TOUS DANSEURS,Dorothée de Cabissole,https://www.listennotes.com/podcasts/tous-danseurs-dorothée-de-cabissole--Cdq8fa25Lt/,French,France,"['Performing Arts', 'Arts']",102,2020,44,1.5
Des histoires en musique d'Elodie Fondacci,Radio Classique,https://www.listennotes.com/podcasts/des-histoires-en-musique-delodie-fondacci-QWdluK97sjC/,French,France,"['Music', 'Kids & Family', 'Education']",98,2019,58,0.5
PsychoShot,MindCraft,https://www.listennotes.com/podcasts/psychoshot-mindcraft-NbwzJOv2pr0/,French,France,"['Mental Health', 'Health & Fitness']",38,2020,48,1
KIDSTORY - Les meilleurs contes pour enfants,Studio KODOMO,https://www.listennotes.com/podcasts/kidstory-les-meilleurs-contes-pour-enfants-SuZ47y6b9f0/,French,France,['Kids & Family'],269,2021,49,1
Allô ma chérie - Le Son du Désir - podcast érotique,le son du desir,https://www.listennotes.com/podcasts/allô-ma-chérie-le-son-du-désir-podcast-8tls7Hx5FTY/,French,France,"['Health & Fitness', 'Sexuality', 'Arts']",76,2019,42,1.5
TIME TO SHIFT,TIME TO SHIFT,https://www.listennotes.com/podcasts/time-to-shift-time-to-shift-7d_pCyuKmSs/,French,France,['Technology'],27,2020,40,2
The Urban,Gecina,https://www.listennotes.com/podcasts/the-urban-gecina--v6ln5IORe9/,French,France,['Business'],10,2019,30,10
100% MIX (Rétro & Techno) Dj HS,Dj HS,https://www.listennotes.com/podcasts/100-mix-rétro-techno-dj-hs-dj-hs-yO-XkQgnhde/,French,France,['Music'],237,2013,39,2
Elio Avila Muñoz - Le podcast,Elio Avila Muñoz,https://www.listennotes.com/podcasts/elio-avila-muñoz-le-podcast-elio-avila-muñoz-14RMV6NOh83/,French,France,"['Education', 'Self-Improvement']",27,2021,52,0.5
Jules et le monde d'Harmonia - Histoire magique et musicale pour les enfants,Potion Of Creativity,https://www.listennotes.com/podcasts/jules-et-le-monde-dharmonia-histoire-6udfDgrlYBo/,French,France,"['Stories for Kids', 'Kids & Family']",6,2020,37,2.5
Les P'tites Histoires,Taleming,https://www.listennotes.com/podcasts/les-ptites-histoires-taleming-nYPmsGkFoK0/,French,France,['Kids & Family'],333,2018,56,0.5
Les dents et dodo,BFM,https://www.listennotes.com/podcasts/les-dents-et-dodo-bfm-9y2KJ-5iXBh/,French,France,['Education'],203,2021,47,1
La Poudre,Lauren Bastide,https://www.listennotes.com/podcasts/la-poudre-lauren-bastide-6nFmgHAKq9c/,French,France,['Society & Culture'],157,2016,69,0.05
L'école des loisirs à écouter,Paradiso Media,https://www.listennotes.com/podcasts/lécole-des-loisirs-à-écouter-paradiso-media-_fHS5JRLTV-/,French,France,['Kids & Family'],25,2020,47,1
Orèma Podcast,Loriane Thomas,https://www.listennotes.com/podcasts/orèma-podcast-loriane-thomas-Y4In0QbAv3K/,French,France,"['Parenting', 'Kids & Family']",47,2020,40,2
Voyage dans l'espace,"Claude Lafleur, Mathieu Rancourt",https://www.listennotes.com/podcasts/voyage-dans-lespace-claude-lafleur-mathieu-5L8yk4MDqw0/,French,France,['Science'],90,2018,47,1
Les Aventures de Rodolphe et Gala (Histoires pour enfants),Loustik & Farfelux,https://www.listennotes.com/podcasts/les-aventures-de-rodolphe-et-gala-histoires-W_zfpMEqU1w/,French,France,"['Stories for Kids', 'Kids & Family']",76,2020,45,1
Lis-moi une histoire,RTL,https://www.listennotes.com/podcasts/lis-moi-une-histoire-rtl-iqfev4jEJAM/,French,France,"['Stories for Kids', 'Kids & Family']",112,2020,44,1.5
Histoires pour enfants - La voie des livres,Gwenn Lebreton,https://www.listennotes.com/podcasts/histoires-pour-enfants-la-voie-des-livres-8wpvbImCejx/,French,France,"['Stories for Kids', 'Kids & Family']",11,2019,48,1
Les odyssées,France Inter,https://www.listennotes.com/podcasts/les-odyssées-france-inter-oc9-kKLRiIG/,French,France,['Society & Culture'],141,2019,64,0.1
Milk&Mamma,MILK AND MAMMA,https://www.listennotes.com/podcasts/milkmamma-milk-and-mamma-2WRjZFoU84z/,French,France,['Kids & Family'],10,2020,44,1.5
VOXXX,"Karl Kunt, Lélé O, Mélia Roger, Olympe de G.",https://www.listennotes.com/podcasts/voxxx-karl-kunt-lélé-o-mélia-roger-olympe-V4ecUan6xs8/,French,France,"['Performing Arts', 'Arts', 'Sexuality', 'Self-Help', 'Health & Fitness']",23,2020,55,0.5
Besser als Sex,Ines Anioli & Leila Lowfire,https://www.listennotes.com/podcasts/besser-als-sex-ines-anioli-leila-lowfire-iMoadI6KhzL/,German,Germany,['Comedy'],87,2018,64,0.1
Generation WHY,Nilam Farooq,https://www.listennotes.com/podcasts/generation-why-nilam-farooq-qLnwXF_D4uB/,German,Germany,['Society & Culture'],10,2018,52,0.5
Lauwarmduscher,Steven Schuto & Marti Fischer,https://www.listennotes.com/podcasts/lauwarmduscher-steven-schuto-marti-fischer-KMJZvGsYo03/,German,Germany,['Society & Culture'],21,2018,50,0.5
Ohne Alkohol mit Nathalie,Nathalie Stüben,https://www.listennotes.com/podcasts/ohne-alkohol-mit-nathalie-nathalie-stüben-ymlz0L-ujpf/,German,Germany,['Health & Fitness'],30,2019,54,0.5
WDR 5 Neugier genügt - Das Feature,Westdeutscher Rundfunk,https://www.listennotes.com/podcasts/wdr-5-neugier-genügt-das-feature-OeJ9ShUnWHa/,German,Germany,"['Society & Culture', 'History', 'Personal Journals']",220,2021,40,2
It's all about,It's all about,https://www.listennotes.com/podcasts/its-all-about-its-all-about-BkUI1-imjol/,German,Germany,"['Music', 'Society & Culture', 'Arts']",23,2019,28,10
PLÖTZLICH SCHWANGER,Patrick Paluten & Tim Bergmann,https://www.listennotes.com/podcasts/plötzlich-schwanger-patrick-paluten-tim-G1xRuW5E6Kv/,German,Germany,"['Video Games', 'Comedy', 'Leisure']",48,2020,73,0.05
Die SamstagsCrasher,Bayerischer Rundfunk,https://www.listennotes.com/podcasts/die-samstagscrasher-bayerischer-rundfunk-e439DLboIdw/,German,Germany,['Comedy'],45,2020,51,0.5
Schaumermal,"Pamela Reif, Dennis Reif",https://www.listennotes.com/podcasts/schaumermal-pamela-reif-dennis-reif-fyh3vOcTiWA/,German,Germany,"['Leisure', 'Comedy', 'Health & Fitness']",12,2020,62,0.1
Einfach mal Luppen,"Toni Kroos, Felix Kroos & Studio Bummens",https://www.listennotes.com/podcasts/einfach-mal-luppen-toni-kroos-felix-kroos-NElr-z_bHtK/,German,Germany,"['Soccer', 'Sports', 'Society & Culture']",81,2020,62,0.1
Leben in Zeiten von Corona,Stefanie Ball,https://www.listennotes.com/podcasts/leben-in-zeiten-von-corona-stefanie-ball-c5R-38dPwbK/,German,Germany,['Society & Culture'],23,2020,25,10
Future Histories,Jan Groos,https://www.listennotes.com/podcasts/future-histories-jan-groos-5oXcnkDGrEI/,German,Germany,"['Philosophy', 'Society & Culture', 'Social Sciences', 'Science', 'News']",71,2019,39,2
Pushing Limits Podcast,Pushing Limits,https://www.listennotes.com/podcasts/pushing-limits-podcast-pushing-limits-9usIa6bpONr/,German,Germany,"['Sports', 'Health & Fitness', 'Fitness', 'Technology', 'Gadgets']",204,2017,52,0.5
"TRI42podcast - Der Ausdauersport-Podcast über Schwimmen, Radfahren, Laufen, Triathlon",Die Ausdauer-Coaches Hannah & Carsten,https://www.listennotes.com/podcasts/tri42podcast-der-ausdauersport-podcast-über-YMlwTkVcZdb/,German,Germany,"['Fitness', 'Health & Fitness', 'Outdoor', 'Sports']",104,2018,36,3
triathlon talk – Carbon & Laktat,"Frank Wechsel, Simon Müller, Nils Flieshardt, Marvin Weber",https://www.listennotes.com/podcasts/triathlon-talk-carbon-laktat-frank-wechsel-o_QrlqM6Ssm/,German,Germany,['Sports'],249,2018,52,0.5
BIGinSports Podcast,©2022 meinsportpodcast.de,https://www.listennotes.com/podcasts/biginsports-podcast-2022-meinsportpodcastde-UGI-cju87gL/,German,Germany,['Sports'],216,2020,41,1.5
Selbstwort,Elisa Roth,https://www.listennotes.com/podcasts/selbstwort-elisa-roth-2ovpJUxKBW3/,German,Germany,"['Mental Health', 'Health & Fitness', 'Personal Journals', 'Society & Culture']",31,2020,35,5
LebensWandelSchule Podcast mit Dr. Ruediger Dahlke,Dr. Ruediger Dahlke,https://www.listennotes.com/podcasts/lebenswandelschule-podcast-mit-dr-ruediger-yM5rPIubzq0/,German,Germany,['Health & Fitness'],229,2018,52,0.5
Steingarts Morning Briefing – Der Podcast,Gabor Steingart,https://www.listennotes.com/podcasts/steingarts-morning-briefing-der-podcast-GruhTOwjNmX/,German,Germany,['News'],1295,2018,65,0.1
Classical Contemporary,Steven Walter,https://www.listennotes.com/podcasts/classical-contemporary-steven-walter-u42BWFMrcUA/,German,Germany,"['Management', 'Business', 'Society & Culture', 'Music']",57,2020,26,10
Frau Feller & Frau Jahnke,"Lisa Feller, Gerburg Jahnke",https://www.listennotes.com/podcasts/frau-feller-frau-jahnke-lisa-feller-gerburg-iGs14k5rZLa/,German,Germany,"['Comedy', 'Society & Culture']",60,2020,51,0.5
Triathlon Podcast - Das Original seit 2013,Marco Sommer,https://www.listennotes.com/podcasts/triathlon-podcast-das-original-seit-2013-gj2QkMTsG35/,German,Germany,"['Sports', 'Outdoor', 'Amateur', 'Health & Fitness']",615,2013,46,1
ENJOYYOURBIKE - Der Radsport & Triathlon Talk,"Ingo Quendler, Dan Miessen, ENJOYYOURBIKE",https://www.listennotes.com/podcasts/enjoyyourbike-der-radsport-triathlon-talk-OCNStovkTZh/,German,Germany,"['Amateur', 'Outdoor', 'Sports']",81,2019,55,0.5
UnterBlog,Horst Lüning,https://www.listennotes.com/podcasts/unterblog-horst-lüning-6m2p0EYznhI/,German,Germany,['Education'],449,2019,52,0.5
Dr. Anne Fleck - Gesundheit und Ernährung mit BRIGITTE LEBEN!,BRIGITTE LEBEN! / Audio Alliance,https://www.listennotes.com/podcasts/dr-anne-fleck-gesundheit-und-ernährung-mit-9Sb7pxcWqR4/,German,Germany,"['Medicine', 'Health & Fitness', 'Education']",49,2020,56,0.5
Das Fitnessmagazin,Bayerischer Rundfunk,https://www.listennotes.com/podcasts/das-fitnessmagazin-bayerischer-rundfunk-OVNTMEizD61/,German,Germany,"['Sports', 'Amateur', 'Health & Fitness', 'Fitness']",167,2018,39,2
Inside Brains - Der Podcast von Tim Gabel,Tim Gabel,https://www.listennotes.com/podcasts/inside-brains-der-podcast-von-tim-gabel-tim-ZcxpRDlqVN0/,German,Germany,"['Society & Culture', 'TV & Film', 'After Shows']",52,2020,51,0.5
Balázsék,Balázsék,https://www.listennotes.com/podcasts/balázsék-balázsék-8clBknFLa_H/,Hungarian,Hungary,['Comedy'],4278,2017,33,5
Segðu mér,RÚV,https://www.listennotes.com/podcasts/segðu-mér-rúv-ypbzvaCrcM3/,Icelandic,Iceland,"['Society & Culture', 'Personal Journals', 'Arts']",489,2019,28,10
Sadhguru,Sadhguru Official,https://www.listennotes.com/podcasts/sadhguru-sadhguru-official-F5Gh3BwnDe_/,English,India,"['Religion & Spirituality', 'Spirituality']",717,2009,64,0.1
Rapot,RezaAnkaRadhiniAbigail Potkes,https://www.listennotes.com/podcasts/rapot-rezaankaradhiniabigail-potkes-XuDWBoOxPmt/,Indonesian,Indonesia,"['Personal Journals', 'Society & Culture']",90,2019,61,0.1
Sunday Miscellany,RTÉ Radio 1,https://www.listennotes.com/podcasts/sunday-miscellany-rté-radio-1-7qbAOf1XCim/,English,Ireland,"['Arts', 'Books']",99,2020,36,3
The Irish Passport,Naomi O'Leary and Tim Mc Inerney,https://www.listennotes.com/podcasts/the-irish-passport-naomi-oleary-and-tim-mc-_3jp5aHUIQ9/,English,Ireland,"['News', 'Arts', 'Society & Culture']",93,2017,55,0.5
The Economic History Podcast,Seán Kenny,https://www.listennotes.com/podcasts/the-economic-history-podcast-seán-kenny-V-K5dwa4PZm/,English,Ireland,['Education'],29,2020,37,2.5
